"row.labels","totalprice","area","zone","category","age","floor","rooms","out","conservation","toilets","garage","elevator","streetcategory","heating","tras"
1,228000,75.309997559,"Z45","4B",33,3,5,"E100","2B",1,0,1,"S3","3A",0
2,409000,100.65000153,"Z31","3B",5,7,5,"E50","1A",2,1,1,"S5","4A",1
3,2e+05,88.870002747,"Z52","3A",14,8,5,"E50","1A",2,0,1,"S2","3A",0
4,180000,62.61000061,"Z62","4A",41,3,4,"E50","2A",1,0,0,"S3","1A",0
5,443600,146.1499939,"Z31","3A",22,6,7,"E100","1A",2,0,1,"S4","4A",1
6,173000,77.209999084,"Z11","4B",35,4,5,"E50","1A",1,0,0,"S4","3A",1
7,245000,77.040000916,"Z47","3A",14,6,4,"E50","1A",1,0,1,"S3","4A",1
8,210000,62.900001526,"Z48","3B",36,3,4,"E100","3A",1,0,0,"S3","3A",1
9,188982.23,58.479999542,"Z11","4B",37,4,4,"E25","2A",1,0,0,"S4","3A",1
10,193000,59.159999847,"Z11","3B",11,5,4,"E50","1A",1,0,0,"S4","3A",1
11,333000,111.40000153,"Z37","4B",36,6,6,"E50","2B",2,0,1,"S2","4A",1
12,224000,66.120002747,"Z48","4B",10,3,5,"E100","1A",1,0,0,"S3","3A",1
13,560000,155.8999939,"Z21","2B",7,4,6,"E100","1A",2,1,1,"S4","3B",1
14,214400,69.029998779,"Z36","4B",9,2,5,"E100","1A",1,0,1,"S4","3A",1
15,268000,86.269996643,"Z61","3B",14,6,5,"E100","1A",1,0,1,"S4","3A",1
16,230000,64.580001831,"Z37","3B",10,4,4,"E50","1A",1,0,0,"S2","3A",0
17,207500,67.680000305,"Z48","3B",31,4,4,"E100","1A",1,0,0,"S3","3A",1
18,254000,82.11000061,"Z61","3B",25,4,5,"E100","2B",1,0,1,"S4","3A",1
19,221000,86.449996948,"Z46","4A",16,2,5,"E100","2A",1,0,1,"S3","3A",1
20,360500,108.73999786,"Z43","3A",14,3,5,"E75","1A",2,1,1,"S3","4A",1
21,250000,74.790000916,"Z45","3B",16,4,5,"E50","1A",1,0,1,"S3","3A",1
22,380000,103,"Z37","3B",15,3,6,"E50","1A",1,1,1,"S3","3A",1
23,338000,106.15000153,"Z56","3A",4,2,5,"E100","1A",2,0,1,"S3","3A",1
24,372000,115.58999634,"Z44","3B",17,4,6,"E100","1A",2,1,1,"S4","3A",1
25,290000,93.059997559,"Z53","3A",10,8,5,"E100","1A",2,0,1,"S3","3A",1
26,270000,78.720001221,"Z36","3B",18,9,5,"E50","1A",1,0,1,"S4","3A",1
27,330000,94.529998779,"Z56","2B",7,3,4,"E100","1A",2,1,1,"S3","3A",1
28,340000,121.51000214,"Z46","3B",31,6,6,"E100","2B",2,0,1,"S3","4A",1
29,270000,86.819999695,"Z53","3A",14,7,5,"E100","1A",2,0,1,"S3","3A",1
30,258000,71.800003052,"Z32","3B",12,2,4,"E50","1A",1,0,1,"S3","3A",1
31,407000,187.91000366,"Z31","4A",38,3,6,"E50","2B",1,0,1,"S5","4A",1
32,178000,53,"Z62","4B",59,3,4,"E50","2B",1,0,0,"S3","1A",0
33,333000,91.88999939,"Z41","3B",14,5,5,"E100","1A",2,1,1,"S4","4A",1
34,403000,118.86000061,"Z41","3A",25,5,6,"E100","1A",2,1,1,"S4","4A",1
35,204000,62.150001526,"Z62","3B",13,3,5,"E50","1A",1,0,0,"S3","3A",0
36,198000,59,"Z41","4B",25,5,4,"E100","1A",1,0,0,"S3","3A",1
37,330500,110.70999908,"Z61","3A",18,5,5,"E100","1A",2,1,1,"S3","4A",1
38,220000,60.330001831,"Z41","4A",31,2,4,"E100","2B",1,0,0,"S3","3A",1
39,373000,103.72000122,"Z37","3A",29,3,5,"E50","1A",2,1,1,"S2","4A",1
40,230000,64.940002441,"Z45","3A",35,6,5,"E50","2B",1,0,1,"S3","3A",1
41,278000,85.540000916,"Z41","3A",11,3,5,"E100","1A",2,0,1,"S2","3A",1
42,281500,94.959999084,"Z37","4B",21,3,5,"E50","1A",1,0,0,"S2","3A",1
43,227500,86.11000061,"Z46","3A",14,7,5,"E100","2A",1,0,1,"S3","3A",1
44,178000,108.44000244,"Z11","4B",118,3,5,"E50","2B",1,0,0,"S4","3A",1
45,269500,86.690002441,"Z47","2B",14,5,5,"E100","1A",2,0,1,"S3","4A",1
46,292000,91.120002747,"Z53","3B",8,5,5,"E100","1A",2,0,1,"S3","3A",1
47,235300,79.069999695,"Z32","3B",10,3,4,"E100","1A",1,0,1,"S3","3A",1
48,426200,141.47999573,"Z42","3A",13,5,5,"E100","1A",2,1,1,"S5","3A",1
49,188000,64.699996948,"Z62","3B",14,5,4,"E100","1A",1,0,0,"S3","3A",0
50,326000,86.86000061,"Z41","3B",15,4,5,"E100","1A",2,1,1,"S2","3A",1
51,429400,155.67999268,"Z42","3A",14,5,6,"E100","1A",2,0,1,"S5","3A",1
52,215000,77.989997864,"Z61","3B",16,8,5,"E50","1A",1,0,1,"S4","3A",0
53,168000,81.900001526,"Z11","4A",26,2,4,"E50","1A",1,0,0,"S4","3A",0
54,308000,104.26999664,"Z52","3A",7,2,5,"E50","1A",2,1,1,"S3","3A",1
55,345000,114.77999878,"Z31","3B",16,4,5,"E50","1A",2,1,1,"S5","3A",1
56,390000,90.919998169,"Z41","2A",10,3,5,"E100","1A",2,1,1,"S4","3B",1
57,382000,132.41999817,"Z31","3B",31,5,6,"E50","2B",2,0,1,"S4","4A",1
58,343000,115.58999634,"Z44","3B",16,5,6,"E100","1A",2,1,1,"S4","3A",1
59,210000,80.470001221,"Z62","4A",22,5,5,"E50","2B",1,0,0,"S3","3A",1
60,290000,97,"Z37","4A",37,5,5,"E75","2A",1,0,0,"S2","3A",0
61,260000,82.199996948,"Z44","3B",11,2,4,"E50","1A",1,0,1,"S4","4A",1
62,184000,53.840000153,"Z62","4B",59,4,4,"E100","2B",1,0,0,"S3","3A",1
63,270000,99.550003052,"Z52","4A",11,12,5,"E100","1A",2,0,1,"S2","3A",0
64,329000,92.940002441,"Z56","3A",7,3,5,"E100","1A",2,1,1,"S2","3A",1
65,226800,67.260002136,"Z45","4A",20,5,5,"E50","1A",1,0,0,"S3","3A",1
66,240000,80,"Z35","3B",20,2,5,"E100","1A",1,0,0,"S4","3A",0
67,291500,69.180000305,"Z56","2B",9,7,4,"E100","1A",1,1,1,"S3","3A",1
68,351000,130.36999512,"Z44","2B",30,12,6,"E100","1A",2,0,1,"S4","4A",0
69,331600,96.589996338,"Z52","3A",8,2,5,"E100","1A",2,1,1,"S3","3A",2
70,280000,78.580001831,"Z32","3B",25,3,5,"E50","1A",1,0,1,"S3","4A",1
71,256500,89.800003052,"Z61","4A",16,3,4,"E50","1A",1,0,1,"S3","3A",1
72,282000,94.089996338,"Z53","3B",8,3,5,"E100","1A",2,0,1,"S4","3B",1
73,294000,111.37000275,"Z53","3B",19,10,5,"E100","2B",2,1,1,"S4","3A",1
74,314000,96.720001221,"Z53","3A",11,4,5,"E100","1A",2,0,1,"S4","3A",1
75,347500,93.709999084,"Z56","3A",8,4,5,"E100","1A",2,2,1,"S3","3A",1
76,249000,82.569999695,"Z61","3B",25,8,5,"E100","1A",1,0,1,"S4","3A",1
77,334000,91.190002441,"Z37","3A",18,5,4,"E50","1A",2,0,1,"S2","3A",1
78,286000,124.44999695,"Z52","3A",24,5,7,"E50","1A",2,1,1,"S2","3A",0
79,325000,105.58000183,"Z56","3A",4,2,5,"E100","1A",2,1,1,"S3","3A",0
80,260000,83.180000305,"Z21","4A",36,3,5,"E50","2B",1,0,1,"S4","3A",1
81,364000,127.38999939,"Z37","3B",11,2,5,"E50","1A",2,0,1,"S2","3A",1
82,290000,81.970001221,"Z43","3B",22,3,5,"E100","2A",2,0,1,"S3","4A",1
